Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label,score_interesse,relacao_valor,propensao_esg,ESG_Label_Predito,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa,ValorEmCaixa
56,11560.92198473543,96,1134694.7798856355,4,0,Brasil,5.0,1,10,5,5,1,0,0,1,5,30619.699133311537,1,50,0.02698494140552603,0.8154904949866957,1,0.8154904949866957,Multimercado,903,1,65354.68555586438,0.3322504121934874,0.29328936181371645,0.19640796796230564,0.143367687483396,0.034684570547094506,65354.68555586438
69,13989.941029222631,92,901303.7762404816,5,1,Brasil,13.75,0,3,3,2,0,0,1,0,3,0.0,1,9,0.0,0.5661380378124199,1,0.5661380378124199,Multimercado,436,0,101163.28250827477,0.0029316598930866802,0.018392376179700774,0.01364669336655302,0.012655811671971372,0.9523734588886882,101163.28250827477
46,10458.466689899136,48,625445.0687964575,5,1,EUA,13.75,0,5,2,1,0,0,1,0,2,0.0,1,10,0.0,0.5615747941738364,1,0.5615747941738364,ETF,579,0,133145.68837482893,0.06860582921744128,0.29633447772831384,0.10507780555615498,0.23575012561038386,0.29423176188770606,133145.68837482893
32,13681.809908990233,39,1009773.070408636,15,0,Brasil,13.75,0,3,2,1,0,1,0,1,1,0.0,1,6,0.0,0.680560472799662,1,0.680560472799662,Caixa,684,1,75076.79767277541,0.050058997602178405,0.19325716196933304,0.06702777515848848,0.005786354963403939,0.683869710306596,75076.79767277541
60,8542.435716343276,40,683972.4128694916,10,0,Brasil,13.75,0,5,2,2,0,0,0,0,2,0.0,0,10,0.0,0.1067936929018068,0,0.1067936929018068,Caixa,537,0,140302.9155986278,0.2867616475598793,0.2856787603813401,0.062195517136928995,0.012169276447367882,0.35319479847448376,140302.9155986278
25,11436.28834288952,42,1516453.616817247,8,1,EUA,13.75,0,7,3,2,0,0,0,1,4,0.0,0,21,0.0,0.23360638950405477,0,0.23360638950405477,ETF,547,0,36659.21531877487,0.06742469015372424,0.054562748169194396,0.05412862226550084,0.011090110853635414,0.8127938285579451,36659.21531877487
38,13266.161306434527,111,1092348.4560203557,7,1,Brasil,13.75,0,0,1,1,1,0,0,1,1,0.0,1,0,0.0,0.6189036864226525,1,0.6189036864226525,Caixa,384,0,132914.45317019033,0.24649362642556488,0.1432037035488141,0.05127818224521137,0.12205922874473372,0.43696525903567596,132914.45317019033
56,12758.643508253683,104,1754927.0705666828,12,1,Brasil,13.75,0,4,1,1,0,0,0,0,1,0.0,0,4,0.0,0.10655787019797151,0,0.10655787019797151,ETF,1182,0,62932.52825116481,0.05480307405955616,0.2931935839628324,0.10460421996046483,0.18843878439601966,0.358960337621127,62932.52825116481
36,5578.139641123815,77,1091652.3901523896,11,2,Brasil,13.75,1,14,5,5,0,0,1,0,8,10474.984988279224,1,70,0.009595522793930925,0.8164234081560712,1,0.8164234081560712,ETF,605,1,73449.60490598442,0.2741065605739474,0.11708081338682352,0.1975939306162111,0.27371855421094704,0.13750014121207088,73449.60490598442
40,10243.976196515086,76,484142.2025464608,13,1,EUA,13.75,0,7,2,1,0,0,0,0,5,0.0,0,14,0.0,0.10607103398495267,0,0.10607103398495267,ETF,788,0,65179.85556436642,0.3597180481499567,0.20476490601505876,0.09735005214221942,0.13677506255248092,0.2013919311402842,65179.85556436642
28,18709.851721250423,8,1703672.8456419676,15,0,Brasil,13.75,1,10,4,5,0,0,0,0,6,49378.82645227601,1,40,0.028983732173025988,0.7763046678209129,1,0.7763046678209129,Renda Variável,398,0,27700.98649283417,0.30886862456418906,0.05705500432010841,0.1323240825108583,0.24527106158652823,0.256481227018316,27700.98649283417
28,10030.21570267793,79,1118865.8994107875,17,1,Brasil,13.75,1,14,4,4,1,1,0,1,9,53672.23978323206,1,56,0.047970173942491895,0.8295777379928498,1,0.8295777379928498,Multimercado,243,1,103316.42867003084,0.117129691966143,0.25688932141397985,0.10595341450262004,0.15571384950327694,0.3643137226139801,103316.42867003084
41,12063.230176447358,26,421613.6659056869,18,2,Brasil,13.75,0,6,1,1,0,0,0,0,4,0.0,0,6,0.0,0.10619447847150033,0,0.10619447847150033,Multimercado,179,0,81121.8244803331,0.2890931993735324,0.07910670013322005,0.178704581619704,0.05927442034034122,0.39382109853320224,81121.8244803331
53,11652.976997804222,12,1250780.541812882,8,2,Brasil,13.75,0,7,3,4,0,0,0,0,3,0.0,0,21,0.0,0.10709867327107687,0,0.10709867327107687,Multimercado,477,0,121371.63223817317,0.39785894509960096,0.046344710697520816,0.043104801722752085,0.2674911803982404,0.24520036208188567,121371.63223817317
57,18272.959035678607,43,721856.3622354309,6,2,EUA,13.75,0,1,1,2,0,0,0,1,0,0.0,0,1,0.0,0.11992986895869205,0,0.11992986895869205,Renda Variável,1106,0,137543.26753114903,0.26800993894649694,0.165215706974386,0.020559359132659407,0.2305398746224374,0.31567512032402023,137543.26753114903
41,17161.47248877868,51,1690367.168461211,11,1,EUA,13.75,1,11,3,2,1,1,1,1,6,17609.120112291545,1,33,0.010417328272527525,0.8268247553447615,1,0.8268247553447615,Multimercado,819,1,38657.67953581557,0.0509148099534849,0.07411927555932164,0.08820973515490793,0.18410535946024914,0.6026508198720364,38657.67953581557
20,15230.123999275238,110,912066.4799066202,9,1,Brasil,13.75,1,11,4,3,1,1,0,1,6,64240.792630234515,1,44,0.07043425409358049,0.8244290991855637,1,0.8244290991855637,ETF,1003,1,108484.40193763666,0.2247045783353709,0.22963688281844707,0.11624061951713659,0.27170571202864313,0.15771220730040225,108484.40193763666
39,8107.030746509865,91,1455618.3026337593,5,2,Brasil,2.0,0,5,1,1,0,0,0,0,4,0.0,0,5,0.0,0.10638911640272408,0,0.10638911640272408,Renda Fixa,1074,0,41284.27567808734,0.16545822845492478,0.25161432932725225,0.03107468814784862,0.22802761044633102,0.32382514362364334,41284.27567808734
19,13436.73219676832,82,200117.05319611196,7,1,EUA,13.75,0,7,2,2,0,0,0,0,4,0.0,0,14,0.0,0.10616952578880016,0,0.10616952578880016,Renda Fixa,515,0,105275.9715352024,0.07731438189864939,0.15574341968111527,0.1255019514431995,0.04701451244004937,0.5944257345369864,105275.9715352024
41,14271.766972300527,109,798088.4491416689,15,0,Brasil,13.75,0,2,1,1,0,0,0,1,1,0.0,1,2,0.0,0.6167930382381832,1,0.6167930382381832,Multimercado,799,0,49921.78903857663,0.07304432993067232,0.006354983711083417,0.051329925549505134,0.04011762997847501,0.8291531308302641,49921.78903857663
