Data,Fundo XP Essencial ESG,ETF XP Sustentável,Fundo XP Verde Ações,Fundo XP Impacto Social,Trend ESG Global Dólar FIM,Pandhora ESG Prev,JGP Ações 100 Prev XP Seguros FIC FIA
2020-05-31 22:21:41.257364,1010.9671415301123,1001.1666060972377,1018.8654792056458,1013.50800817318,998.4523548309711,997.7100498907793,1018.3869302848234
2020-06-30 22:21:41.257364,1015.635137725986,1004.6854345872598,1012.0993852863895,1009.1642236498903,1001.6442521591221,998.1073276544961,1057.7524512579178
2020-07-31 22:21:41.257364,1028.3071009283162,1000.8167126869293,1040.4805898801192,1002.2507322347698,1009.1915524055884,1011.5547638522518,1063.9136445953927
2020-08-31 22:21:41.257364,1050.1383676965881,996.2433276007101,1025.8849716982072,1014.0669366057051,1019.3443084140648,1023.7983219324951,1080.9726853988554
2020-09-30 22:21:41.257364,1053.9802634755413,1007.7003316712216,1042.0968845960574,1017.4320635594103,1014.857078471126,1029.727121695828,1104.5410029626833
2020-10-31 22:21:41.257364,1057.836387740648,1023.6723015425107,1083.631567540767,1032.2540198938054,1016.5402101563568,1037.1136363131095,1104.514041737866
2020-11-30 22:21:41.257364,1080.8888938693929,1028.2009449150833,1075.1163420529408,1044.3095612971406,1017.2267639520398,1056.5871549915955,1118.3004199279185
2020-12-31 22:21:41.257364,1095.6693439877197,1041.5966174305863,1073.5096172938602,1049.662747507006,1016.6435831405245,1056.6762106145002,1127.5284650289857
2021-01-31 22:21:41.257364,1097.0994731270823,1049.8180314011847,1082.6288350968875,1045.294550143896,1033.2740215460565,1068.797315753906,1138.751344378553
2021-02-28 22:21:41.257364,1109.6344933454245,1049.6490547518101,1082.0310780288337,1032.5647788655824,1040.3363172002014,1073.0490700065648,1130.2560365219178
2021-03-31 22:21:41.257364,1111.1500577377844,1057.932008471276,1064.4373052153899,1033.227500185881,1035.315458882714,1077.1515382997952,1139.8521402623408
2021-04-30 22:21:41.257364,1112.642001658513,1076.238773424541,1072.983081173999,1050.0451226120485,1046.108657358587,1095.449939293256,1160.323845746902
2021-05-31 22:21:41.257364,1122.010027530075,1081.3115083125572,1063.3964540637705,1059.043090449389,1065.833133777756,1111.0646618229214,1203.2823671474325
2021-06-30 22:21:41.257364,1107.274891495443,1100.2530033856392,1078.3944769133504,1049.565856438888,1077.7995161020565,1126.7696678799864,1235.9940994915576
2021-07-31 22:21:41.257364,1094.8189587860713,1082.695209051531,1071.0707080096736,1058.0444290186397,1070.647680667868,1148.2400251068827,1299.1084685397502
2021-08-31 22:21:41.257364,1095.2318420657678,1095.2276443271446,1103.4695430740016,1069.2848904770653,1071.3011627814371,1155.3706397739613,1289.563981942844
2021-09-30 22:21:41.257364,1090.7103841819085,1101.4664733927168,1098.2293875864375,1064.3594549975396,1085.0870711434136,1170.1819480200134,1322.3787592747958
2021-10-31 22:21:41.257364,1100.682174775631,1104.3390331849914,1100.611531973927,1072.7090369673285,1084.052238513486,1173.5723541317698,1337.806740830419
2021-11-30 22:21:41.257364,1097.2918086823518,1110.6714084088646,1121.7463091611903,1079.8945834088202,1091.7563115795836,1184.418114950762,1407.0998572600388
2021-12-31 22:21:41.257364,1088.3784667059758,1098.5644777253933,1108.8877707647487,1071.5625017057796,1102.0433181448736,1189.9831857291854,1395.6095280791837
2022-01-31 22:21:41.257364,1110.8605431046951,1102.1267102521551,1120.433398257424,1082.5925749432163,1099.3008686893406,1198.2773205178094,1383.3359282261436
2022-02-28 22:21:41.257364,1115.0176465255367,1110.786010232455,1150.2449280180494,1096.3733443655472,1103.2400182347035,1212.5986160981952,1377.819388020808
2022-03-31 22:21:41.257364,1122.4607038033423,1129.4729325196554,1130.561650952754,1117.2007265949326,1082.621707432113,1209.952475113266,1330.3150489832035
2022-04-30 22:21:41.257364,1113.2032295077654,1130.4373197160844,1141.6066819082841,1138.0316319731498,1079.1890241805056,1242.5290815950568,1326.9691730266609
2022-05-31 22:21:41.257364,1113.8223628145151,1128.7778955829674,1154.0481876980473,1126.0458459353613,1081.5977988393402,1237.4841975535924,1317.4380136084853
2022-06-30 22:21:41.257364,1121.7407776010039,1129.8908069828722,1175.660444036066,1120.1297131260465,1076.4769932334038,1229.8837105271705,1331.9402075436387
2022-07-31 22:21:41.257364,1115.5600579610953,1143.8146965176604,1162.0765568142938,1133.7733670781015,1093.0836736915735,1251.5064297733547,1351.699699710106
2022-08-31 22:21:41.257364,1126.4445553400776,1152.5420128060505,1147.194017596659,1147.5662092108478,1086.5131590471028,1268.923177869058,1413.2336885072464
2022-09-30 22:21:41.257364,1126.4373608522617,1153.420155737647,1164.2058993439969,1161.5442223173573,1087.5124128057546,1284.456317952521,1451.402977745002
2022-10-31 22:21:41.257364,1129.9102376404328,1163.9233605374286,1177.541610268297,1222.214903688583,1092.8577364615696,1300.2338794525522,1446.2678078929546
2022-11-30 22:21:41.257364,1129.890954454136,1170.6469039598749,1190.2088878555296,1237.9212037972375,1108.254914057595,1307.8760460395722,1431.850986009901
2022-12-31 22:21:41.257364,1157.5990238389545,1185.5716685533027,1204.7255361423925,1262.2176204314187,1101.548824719148,1303.9883273191035,1457.3928929131555
2023-01-31 22:21:41.257364,1164.3883742401763,1184.8408528326997,1200.8699676859833,1284.2408201836522,1114.92399166702,1312.80073987344,1430.5700661984642
2023-02-28 22:21:41.257364,1159.058841395787,1187.659237119136,1213.4596548068555,1301.984783922803,1119.4635512303605,1311.7877603538102,1494.4152284862123
2023-03-31 22:21:41.257364,1175.546973972345,1189.8720063445944,1227.2883467247398,1304.8709835140128,1116.2500633148238,1332.4499882277019,1541.6220158639721
2023-04-30 22:21:41.257364,1168.2486652320113,1181.8902026351232,1222.7286375896622,1324.5844923735199,1124.3258247949136,1338.485222094555,1539.489161699045
2023-05-31 22:21:41.257364,1177.698203384202,1190.5995068824125,1265.507776943713,1320.2479317938607,1130.3897837889567,1335.4669754392496,1499.0580341912816
2023-06-30 22:21:41.257364,1161.685392763318,1199.0390026434359,1283.3609200781061,1324.4175080755183,1130.1619897421265,1339.187775512872,1551.6411636600576
2023-07-31 22:21:41.257364,1153.2261618011248,1205.0832475282741,1269.4113612347192,1324.6501253576535,1135.234851343918,1352.752829722856,1560.4997981938736
2023-08-31 22:21:41.257364,1162.4157740464193,1208.8470875697872,1290.7987899142538,1333.899481177819,1136.7138407823147,1353.2435468612946,1611.6160386801382
2023-09-30 22:21:41.257364,1177.9743207026256,1201.203588612763,1280.9626126364383,1378.9531403991612,1142.1639533080556,1350.2363636984821,1573.116863241015
2023-10-31 22:21:41.257364,1187.0608409730887,1203.1673611859155,1305.052740180531,1356.328404826167,1152.0264416430105,1361.6281352239196,1566.8440590266619
2023-11-30 22:21:41.257364,1192.8103905454386,1205.884454627928,1336.8685343889647,1375.6359055268001,1169.424480573212,1373.133437789373,1579.5431326938901
2023-12-31 22:21:41.257364,1196.375656721406,1204.174247403022,1329.7694486076805,1357.2676026661038,1163.9694562681775,1374.411232164497,1593.663635240461
2024-01-31 22:21:41.257364,1185.8652334897056,1208.6413898363392,1358.2938569107396,1357.7247542968794,1186.0048339743541,1376.1836961772685,1592.0678848149082
2024-02-29 22:21:41.257364,1184.444042688002,1218.59141749868,1376.2120808687312,1383.613045003168,1174.542554344219,1387.6342317592373,1624.6368153804194
2024-03-31 22:21:41.257364,1186.0946984631855,1243.0722941943504,1402.8155022855917,1392.9819873486292,1177.9927781889546,1375.8659231224306,1602.9440008149186
